Report_Name	Dataset Master Report
Report_ID	DSR
Release	RD1
Exceptions	3040: Partial Data Returned
Reporting_Period	2018-03-01 to 2018-03-31
Created	2018-03-09
Created_By	Dash

Dataset_Title	Publisher	Publisher_ID	Platform	Creators	Publication_Date	Dataset_Version	DOI	Other_ID	URI	YOP	Access_Method	Metric_Type	Country	Reporting_Period_Total	Reporting_Period_Volume
Chemical shift-based methods in NMR structure determination	UC Santa Cruz	grid.205975.c	Dash	Santrupti Nerli;Andrew C. McShan;Nikolaos G. Sgourakis	2018-05-01		10.7291/D1Q94R		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D1Q94R	2018	Regular	Total_Dataset_Investigations	GB	3	
Chemical shift-based methods in NMR structure determination	UC Santa Cruz	grid.205975.c	Dash	Santrupti Nerli;Andrew C. McShan;Nikolaos G. Sgourakis	2018-05-01		10.7291/D1Q94R		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D1Q94R	2018	Regular	Unique_Dataset_Investigations	GB	3	
Classification of Facebook Marketing Metrics for Prediction	DataONE	tbd	Dash	Geovanne Caraciola Faria	2017-05-23		10.15146/R34P46		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R34P46	2017	Regular	Total_Dataset_Investigations	DE	3	
Classification of Facebook Marketing Metrics for Prediction	DataONE	tbd	Dash	Geovanne Caraciola Faria	2017-05-23		10.15146/R34P46		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R34P46	2017	Regular	Unique_Dataset_Investigations	DE	2	
Southern Sierra Critical Zone Observatory (SSCZO), Providence Creek meteorological data, soil moisture and temperature, snow depth and air temperature	UC Merced	grid.266096.d	Dash	Roger Bales;Matt Meadows;Erin Stacy;Martha Conklin;Xiande Meng;SSCZO Southern Sierra Critical Zone Observatory	2016-03-14		10.6071/Z7WC73		https://dash.ucmerced.edu/stash/dataset/doi:10.6071/Z7WC73	2013	Regular	Total_Dataset_Requests	US	5	3854202
Southern Sierra Critical Zone Observatory (SSCZO), Providence Creek meteorological data, soil moisture and temperature, snow depth and air temperature	UC Merced	grid.266096.d	Dash	Roger Bales;Matt Meadows;Erin Stacy;Martha Conklin;Xiande Meng;SSCZO Southern Sierra Critical Zone Observatory	2016-03-14		10.6071/Z7WC73		https://dash.ucmerced.edu/stash/dataset/doi:10.6071/Z7WC73	2013	Regular	Unique_Dataset_Requests	US	3	2312521
#GifHistory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-02-12		10.6086/D1CM12		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1CM12	2018	Regular	Total_Dataset_Investigations	US	4	
#GifHistory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-02-12		10.6086/D1CM12		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1CM12	2018	Regular	Unique_Dataset_Investigations	US	4	
Predicting drought tolerance from slope aspect preference in restored plant communities	UC Irvine	grid.266093.8	Dash	Sarah Kimball;Megan Lulow;Kathleen Balazs;Travis Huxman	2017-09-06		10.7280/D1JD4X		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1JD4X	2017	Regular	Total_Dataset_Investigations	IN	1	
Predicting drought tolerance from slope aspect preference in restored plant communities	UC Irvine	grid.266093.8	Dash	Sarah Kimball;Megan Lulow;Kathleen Balazs;Travis Huxman	2017-09-06		10.7280/D1JD4X		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1JD4X	2017	Regular	Unique_Dataset_Investigations	IN	1	
Making Data Count survey responses	UC Office of the President	grid.30389.31	Dash	John Kratz;Carly Strasser	2015-03-25		10.5060/D8H59D		https://dash.ucop.edu/stash/dataset/doi:10.5060/D8H59D	2015	Regular	Total_Dataset_Investigations	HK	1	
Making Data Count survey responses	UC Office of the President	grid.30389.31	Dash	John Kratz;Carly Strasser	2015-03-25		10.5060/D8H59D		https://dash.ucop.edu/stash/dataset/doi:10.5060/D8H59D	2015	Regular	Unique_Dataset_Investigations	HK	1	
SanFranciscoBay_Adapt2SeaLevelRise_CostData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill;Ellen Plane	2017-03-11		10.6078/D1KK59		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1KK59	2017	Regular	Total_Dataset_Investigations	RU	1	
SanFranciscoBay_Adapt2SeaLevelRise_CostData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill;Ellen Plane	2017-03-11		10.6078/D1KK59		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1KK59	2017	Regular	Unique_Dataset_Investigations	RU	1	
Data deposition for Complex electrophysiological remodeling in postinfarction ischemic heart failure	UC Davis	grid.27860.3b	Dash	Bence Hegyi;Ye Chen-Izu	2018-03-03		10.25338/B88593		https://dash.ucdavis.edu/stash/dataset/doi:10.25338/B88593	2018	Regular	Total_Dataset_Investigations	US	2	
Data deposition for Complex electrophysiological remodeling in postinfarction ischemic heart failure	UC Davis	grid.27860.3b	Dash	Bence Hegyi;Ye Chen-Izu	2018-03-03		10.25338/B88593		https://dash.ucdavis.edu/stash/dataset/doi:10.25338/B88593	2018	Regular	Unique_Dataset_Investigations	US	2	
Data deposition for Complex electrophysiological remodeling in postinfarction ischemic heart failure	UC Davis	grid.27860.3b	Dash	Bence Hegyi;Ye Chen-Izu	2018-03-03		10.25338/B88593		https://dash.ucdavis.edu/stash/dataset/doi:10.25338/B88593	2018	Regular	Total_Dataset_Investigations	GB	1	
Data deposition for Complex electrophysiological remodeling in postinfarction ischemic heart failure	UC Davis	grid.27860.3b	Dash	Bence Hegyi;Ye Chen-Izu	2018-03-03		10.25338/B88593		https://dash.ucdavis.edu/stash/dataset/doi:10.25338/B88593	2018	Regular	Unique_Dataset_Investigations	GB	1	
Crystal Cove Marine Conservation Area Citizen Science Monitoring	UC Irvine	grid.266093.8	Dash	Crystal Cove Alliance	2016-10-11		10.7280/D1NK5Z		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1NK5Z	2016	Regular	Total_Dataset_Investigations	US	1	
Crystal Cove Marine Conservation Area Citizen Science Monitoring	UC Irvine	grid.266093.8	Dash	Crystal Cove Alliance	2016-10-11		10.7280/D1NK5Z		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1NK5Z	2016	Regular	Unique_Dataset_Investigations	US	1	
Binding Modes of Ligands Using Enhanced Sampling (BLUES): Rapid Decorrelation of Ligand Binding Modes via Nonequilibrium Candidate Monte Carlo	UC Irvine	grid.266093.8	Dash	Samuel Gill;Nathan Lim;Patrick Grinaway;Ariën Rustenburg;Josh Fass;Gregory Ross;John Chodera;David Mobley	2018-03-23		10.7280/D1ZD38		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1ZD38	2018	Regular	Total_Dataset_Investigations	GB	1	
Binding Modes of Ligands Using Enhanced Sampling (BLUES): Rapid Decorrelation of Ligand Binding Modes via Nonequilibrium Candidate Monte Carlo	UC Irvine	grid.266093.8	Dash	Samuel Gill;Nathan Lim;Patrick Grinaway;Ariën Rustenburg;Josh Fass;Gregory Ross;John Chodera;David Mobley	2018-03-23		10.7280/D1ZD38		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1ZD38	2018	Regular	Unique_Dataset_Investigations	GB	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Total_Dataset_Investigations	GB	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Unique_Dataset_Investigations	GB	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Total_Dataset_Investigations	GB	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Unique_Dataset_Investigations	GB	1	
